strategy_id,family,parent_strategy,config_path,expected_effect,risk,why_this_should_help,guardrail_max_drawdown_pct,success_rule,rejection_rule,variant,evidence_anchor,promise_score
HYP_DD20_CTRL_SPY_FALLBACK_25_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_SPY_FALLBACK_25_V1.json,Reduce opportunity loss in positive SPY regimes by replacing a controlled slice of idle cash with SPY exposure.,Medium,2023/2025 were dominated by high cash and missed upside; controlled SPY fallback targets that specific opportunity loss.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and improve at least one material metric versus parent DD20.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.",25,"Parent DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1: CAGR 10.87%, DD -19.79%, years W/L 13/11, months W/L 135/121.; 2023 weakness: strategy -0.01% vs SPY 24.29%, diff -24.30%, cash 80.84%, exposure 19.16%.; 2025 weakness: strategy -3.03% vs SPY 16.35%, diff -19.38%, cash 81.67%, stop-loss rate 39.39%.",0.85
HYP_DD20_CTRL_SPY_FALLBACK_50_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_SPY_FALLBACK_50_V1.json,Reduce opportunity loss in positive SPY regimes by replacing a controlled slice of idle cash with SPY exposure.,Medium,2023/2025 were dominated by high cash and missed upside; controlled SPY fallback targets that specific opportunity loss.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and improve at least one material metric versus parent DD20.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.",50,"Parent DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1: CAGR 10.87%, DD -19.79%, years W/L 13/11, months W/L 135/121.; 2023 weakness: strategy -0.01% vs SPY 24.29%, diff -24.30%, cash 80.84%, exposure 19.16%.; 2025 weakness: strategy -3.03% vs SPY 16.35%, diff -19.38%, cash 81.67%, stop-loss rate 39.39%.",1.0
HYP_DD20_CTRL_SPY_FALLBACK_75_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_SPY_FALLBACK_75_V1.json,Reduce opportunity loss in positive SPY regimes by replacing a controlled slice of idle cash with SPY exposure.,Medium,2023/2025 were dominated by high cash and missed upside; controlled SPY fallback targets that specific opportunity loss.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and improve at least one material metric versus parent DD20.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.",75,"Parent DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1: CAGR 10.87%, DD -19.79%, years W/L 13/11, months W/L 135/121.; 2023 weakness: strategy -0.01% vs SPY 24.29%, diff -24.30%, cash 80.84%, exposure 19.16%.; 2025 weakness: strategy -3.03% vs SPY 16.35%, diff -19.38%, cash 81.67%, stop-loss rate 39.39%.",0.7
HYP_DD20_CTRL_TOPN_DYNAMIC_12_8_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_TOPN_DYNAMIC_12_8_V1.json,Expand the book only in strong SPY regimes and keep TOPN tight when SPY is weak.,Medium,The audit shows 2023/2025 underperformance with low exposure; dynamic breadth should help capture more winners in strong regimes without always increasing risk.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""strong_topn"": 12, ""weak_topn"": 8}","Parent DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1: CAGR 10.87%, DD -19.79%, years W/L 13/11, months W/L 135/121.; 2023 weakness: strategy -0.01% vs SPY 24.29%, diff -24.30%, cash 80.84%, exposure 19.16%.; 2025 weakness: strategy -3.03% vs SPY 16.35%, diff -19.38%, cash 81.67%, stop-loss rate 39.39%.",1.0
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1.json,Expand the book only in strong SPY regimes and keep TOPN tight when SPY is weak.,Medium,The audit shows 2023/2025 underperformance with low exposure; dynamic breadth should help capture more winners in strong regimes without always increasing risk.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""strong_topn"": 16, ""weak_topn"": 8}","Parent DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1: CAGR 10.87%, DD -19.79%, years W/L 13/11, months W/L 135/121.; 2023 weakness: strategy -0.01% vs SPY 24.29%, diff -24.30%, cash 80.84%, exposure 19.16%.; 2025 weakness: strategy -3.03% vs SPY 16.35%, diff -19.38%, cash 81.67%, stop-loss rate 39.39%.",0.85
HYP_DD20_CTRL_TOPN_DYNAMIC_18_6_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_TOPN_DYNAMIC_18_6_V1.json,Expand the book only in strong SPY regimes and keep TOPN tight when SPY is weak.,Medium,The audit shows 2023/2025 underperformance with low exposure; dynamic breadth should help capture more winners in strong regimes without always increasing risk.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""strong_topn"": 18, ""weak_topn"": 6}","Parent DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1: CAGR 10.87%, DD -19.79%, years W/L 13/11, months W/L 135/121.; 2023 weakness: strategy -0.01% vs SPY 24.29%, diff -24.30%, cash 80.84%, exposure 19.16%.; 2025 weakness: strategy -3.03% vs SPY 16.35%, diff -19.38%, cash 81.67%, stop-loss rate 39.39%.",0.7
HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1.json,Reduce time spent locked out by the guard while still hard-stopping near -20%.,Medium-high,The guard was active several times and caused partial rebalances; a dynamic guard should restore participation when DD is still under control.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""resume_drawdown_pct"": -12, ""reduced_exposure_pct_when_active"": 20}","Parent DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1: CAGR 10.43%, DD -19.33%, years W/L 14/11, months W/L 136/129.; 2023 weakness: strategy 0.16% vs SPY 24.29%, diff -24.12%, cash 80.06%, exposure 19.94%.; 2025 weakness: strategy -4.95% vs SPY 16.35%, diff -21.31%, cash 83.43%, stop-loss rate 56.76%.",0.95
HYP_DD20_CTRL_GUARD_DYNAMIC_13_25_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_GUARD_DYNAMIC_13_25_V1.json,Reduce time spent locked out by the guard while still hard-stopping near -20%.,Medium-high,The guard was active several times and caused partial rebalances; a dynamic guard should restore participation when DD is still under control.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""resume_drawdown_pct"": -13, ""reduced_exposure_pct_when_active"": 25}","Parent DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1: CAGR 10.43%, DD -19.33%, years W/L 14/11, months W/L 136/129.; 2023 weakness: strategy 0.16% vs SPY 24.29%, diff -24.12%, cash 80.06%, exposure 19.94%.; 2025 weakness: strategy -4.95% vs SPY 16.35%, diff -21.31%, cash 83.43%, stop-loss rate 56.76%.",0.8
HYP_DD20_CTRL_GUARD_DYNAMIC_14_30_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_GUARD_DYNAMIC_14_30_V1.json,Reduce time spent locked out by the guard while still hard-stopping near -20%.,Medium-high,The guard was active several times and caused partial rebalances; a dynamic guard should restore participation when DD is still under control.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""resume_drawdown_pct"": -14, ""reduced_exposure_pct_when_active"": 30}","Parent DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1: CAGR 10.43%, DD -19.33%, years W/L 14/11, months W/L 136/129.; 2023 weakness: strategy 0.16% vs SPY 24.29%, diff -24.12%, cash 80.06%, exposure 19.94%.; 2025 weakness: strategy -4.95% vs SPY 16.35%, diff -21.31%, cash 83.43%, stop-loss rate 56.76%.",0.6
HYP_DD20_CTRL_DD_COMPRESS_17_45_V1,dd_compression,DD20ADAPT_105_HYP_DD20_CAGR_SL10P5_TOPN8_GUARD18_10_V1,configs/generated/dd20_controlled/HYP_DD20_CTRL_DD_COMPRESS_17_45_V1.json,Move max drawdown toward -15/-17 while keeping the strategy above SPY.,High,All current champions are clustered just under the -20% cap; compressed DD is the natural next safety experiment if CAGR survives.,-20,max_drawdown_pct no worse than -20; CAGR must exceed SPY; and one parent DD20 metric must improve materially.,"Reject if DD < -20, CAGR <= SPY, or no parent metric improves materially.","{""target_max_drawdown_pct"": -17, ""max_gross_exposure_pct"": 45}","Parent DD20ADAPT_105_HYP_DD20_CAGR_SL10P5_TOPN8_GUARD18_10_V1: CAGR 10.26%, DD -19.19%, years W/L 13/11, months W/L 136/127.; 2023 weakness: strategy 0.13% vs SPY 24.29%, diff -24.15%, cash 80.92%, exposure 19.08%.; 2025 weakness: strategy -4.58% vs SPY 16.35%, diff -20.93%, cash 82.83%, stop-loss rate 50.00%.",1.0
